Team,Win,Draw,Lose,Score
Liverpool,31,5,2,98
Man City,26,5,7,83
Chelsea,18,11,9,65
Tottenham,17,11,10,62
Man United,17,11,10,62
Leicester,17,8,13,59
Wolves,13,17,8,56
Arsenal,13,14,11,53
Sheffield United,11,19,7,52
Burnley,13,11,14,50
Everton,13,11,14,50
Crystal Palace,12,12,14,48
Newcastle,12,12,14,48
Southampton,11,9,18,42
Watford,9,12,17,39
Brighton,8,14,16,38
West Ham,8,10,20,34
Bournemouth,8,8,22,32
Aston Villa,8,6,23,30
Norwich,6,10,22,28
